step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.32806,0.50826,,
2,2.14605,0.5392,,
3,2.24898,0.53873,,
4,2.07309,0.54302,,
5,2.31528,0.53206,,
6,2.45891,0.49101,,
7,2.42773,0.48747,,
8,2.17644,0.54246,,
9,2.22783,0.54889,,
10,2.32691,0.51227,,
11,2.10632,0.54719,,
12,3.0296,0.44776,,
13,2.23749,0.51619,,
14,2.15652,0.57805,,
15,2.40443,0.50352,,
16,2.23095,0.53029,,
17,2.00452,0.57638,,
18,2.38421,0.47032,,
19,2.35109,0.49248,,
20,2.21911,0.4959,,
21,1.93561,0.58504,,
22,2.30589,0.51378,,
23,2.26537,0.49769,,
24,2.02591,0.52923,,
25,2.38329,0.48964,,
26,2.33097,0.48438,,
27,2.15692,0.52055,,
28,2.1482,0.51678,,
29,2.23761,0.49476,,
30,2.02525,0.52292,,
31,2.38792,0.46154,,
32,2.30997,0.4714,,
33,2.29794,0.48332,,
34,2.1321,0.5153,,
35,2.14862,0.49553,,
36,2.15213,0.51297,,
37,2.36099,0.45913,,
38,2.11964,0.51261,,
39,2.17601,0.50123,,
40,2.13556,0.515,,
41,1.88403,0.5446,,
42,1.86988,0.55203,,
43,1.66752,0.58827,,
44,1.95394,0.56089,,
45,2.06841,0.50898,,
46,2.44664,0.4641,,
47,1.94194,0.54539,,
48,2.36487,0.45823,,
49,1.90939,0.53115,,
50,2.0971,0.51948,,
51,1.6774,0.6022,,
52,1.95298,0.56839,,
53,1.88355,0.53146,,
54,1.59418,0.61807,,
55,1.93255,0.53431,,
56,1.95546,0.54766,,
57,1.83209,0.59004,,
58,1.92971,0.55494,,
59,2.1524,0.50237,,
60,1.52221,0.62811,,
61,1.50758,0.62481,,
62,1.94964,0.54551,,
63,1.42692,0.66179,,
64,1.78426,0.57005,,
65,1.64804,0.60644,,
66,2.17734,0.50065,,
67,1.95993,0.55042,,
68,2.26498,0.48279,,
69,1.80058,0.56119,,
70,1.88401,0.53482,,
71,2.0515,0.50121,,
72,2.03747,0.526,,
73,1.67468,0.59877,,
74,2.0223,0.54596,,
75,1.81129,0.56557,,
76,1.37679,0.6701,,
77,1.78773,0.56759,,
78,1.99125,0.53393,,
79,2.33374,0.46366,,
80,1.98422,0.52616,,
81,1.98022,0.50553,,
82,2.02265,0.51852,,
83,2.11158,0.49312,,
84,1.65564,0.56698,,
